published_path,split,label,source_id,source_license,privacy_group_id,published_sha256,published_size,orientation,privacy_transform,label_path,label_sha256,target_boxes
datasets/corn-leaf-disease-v2/val/healthy/img_93a5615d52b5affbc4432143.jpg,val,healthy,plantvillage,CC BY-SA 3.0,grp_2031daf2d5bc8d5abf7a1d17,cc40b7f6409cd43f18fa75cb24fb7e52b8c9f846c3f18102b8b1ed1d75478cf2,7449,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/train/common_rust/img_7d7e889adc9180412b192ce7.jpg,train,common_rust,plantvillage,CC BY-SA 3.0,grp_1d353e7cd55932d5e5409a55,b93c04ede2a35e63222720355c528782c575b0e5f61b0b2353c30349a2654d18,12122,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/val/northern_leaf_blight/img_92726a52d727362f91306c7b.jpg,val,northern_leaf_blight,plantvillage,CC BY-SA 3.0,grp_82923b83e539b9febf6b863b,1a7baf922273dbfd520ea90c32f27f9d5c47912a6c0d8f66871699e215fa076b,14560,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/train/healthy/img_24f7186f43c4a4b8fdcac916.jpg,train,healthy,plantvillage,CC BY-SA 3.0,grp_1811c13ec29a53320ab096fe,476347a7700efc6d00ce391b8565892ce3c69f22e6f6b2f817b3b7ec1e9e6976,16640,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/val/healthy/img_9c8462a051344e3eddf82c3f.jpg,val,healthy,makerere,CC BY (datasheet; version not specified),grp_14178a696df0afcd724b397b,c8c0251e93cbd8c7a1d26845d69d6fad7606ed1e76a74f24e55305e9c2316dbb,661071,6,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/train/healthy/img_ec607c876638d24fefcfeaf8.jpg,train,healthy,plantvillage,CC BY-SA 3.0,grp_e76bc8b5a91f6baf8c1d658c,00a5d559eece5377ef663ffefcbf6707bba650880e36474f11575064ca489253,13685,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/val/northern_leaf_blight/img_9c55c47770cca90ddd863043.jpg,val,northern_leaf_blight,makerere,CC BY (datasheet; version not specified),grp_842f9d2789c5e6a8b26f5372,420373d8ab962c4dd1eaeccf6378fcc43cedd8c68743ca4280fafe7ee5b50721,777149,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/val/healthy/img_768a95442b68a2d35523f81d.jpg,val,healthy,makerere,CC BY (datasheet; version not specified),grp_14178a696df0afcd724b397b,6de8358d32afd342f1c2eb3ea2ebfd95b6f55660d8c771036cb6383f4cdac7db,590756,6,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/train/healthy/img_98a23d3ca3ea0b2a9287d7cf.jpg,train,healthy,plantvillage,CC BY-SA 3.0,grp_093924220a156a6baa5c3632,31ea535b4c9660e16ce0e6662fa0841da735769e99a729afaedbebc095cc024a,21300,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
datasets/corn-leaf-disease-v2/train/healthy/img_906e7f64af230162f375fb85.jpg,train,healthy,plantvillage,CC BY-SA 3.0,grp_255172f0c88b83a4f91a4517,42fd86f5995b95f1d142bbdd8d442f1d26e7ea5dc29a3baa815050480d1fad19,12908,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,,,
